target,explanation,explanation_type,domain_target,domain_explanation,mean_satisfactory,joint_distance
see something,hear something,CO,mind,mind,39.11764705882353,-0.239006622516556
see something,take a walk,CC,mind,action,68.47058823529412,0.376158940397351
hear something,see something,CO,mind,mind,33.5,-0.26523178807947
hear something,take a walk,CC,mind,action,51.83333333333333,0.329337748344371
choose what to do,feel scared,CC,mind,bio,49.33333333333333,0.349139072847682
choose what to do,remember something,CO,mind,mind,68.62745098039215,0.215298013245033
remember something,take a walk,CC,mind,action,53.627450980392155,0.367814569536424
remember something,think about something,CO,mind,mind,76.15686274509804,0.0812582781456954
think about something,remember something,CO,mind,mind,72.95098039215686,0.0765562913907285
think about something,take a walk,CC,mind,action,56.15686274509804,0.398675496688742
reach for something,become hungry,CC,action,bio,62.59803921568628,0.353841059602649
reach for something,kick something,CO,action,action,25.941176470588236,-0.147218543046358
sit down,experience pain,CC,action,bio,75.2843137254902,0.454304635761589
sit down,jump up and down,CO,action,action,31.098039215686274,-0.23317880794702
jump up and down,sit down,CO,action,action,8.617647058823527,-0.524503311258278
jump up and down,think about something,CC,action,mind,47.18627450980392,0.273973509933775
kick something,jump up and down,CO,action,action,36.33333333333333,-0.24887417218543
kick something,think about something,CC,action,mind,41.63725490196079,0.22682119205298
take a walk,jump up and down,CO,action,action,14.705882352941176,-0.40682119205298
take a walk,think about something,CC,action,mind,49.96078431372549,0.320794701986755
get tired,feel scared,CO,bio,bio,24.470588235294116,-0.0233774834437087
get tired,jump up and down,CC,bio,action,73.55882352941177,0.433576158940397
become hungry,experience pain,CO,bio,bio,14.558823529411764,-0.214834437086093
become hungry,take a walk,CC,bio,action,56.91176470588235,0.369139072847682
feel scared,become hungry,CO,bio,bio,11.57843137254902,-0.107350993377483
feel scared,see something,CC,bio,mind,75.4607843137255,0.418079470198676
experience pain,feel scared,CO,bio,bio,33.98039215686275,-0.0193377483443709
experience pain,kick something,CC,bio,action,76.99019607843137,0.383311258278146
get sick,get tired,CO,bio,bio,31.401960784313722,-0.0570198675496688
get sick,see something,CC,bio,mind,36.64705882352941,0.248609271523179
