subject_id,condition,first_item,middle_CC_item,middle_CO_item,third_item,response,domain_first_item,domain_third_item,domain_middle_CC_item,domain_middle_CO_item,freesort_minus_causal_pairs_distance_CC,rank_CC,freesort_minus_causal_pairs_distance_CO,rank_CO,joint_distance_difference
subj_01,biological_reasoning,see something,take a walk,remember something,hear something,CO,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_01,biological_reasoning,become hungry,think about something,get tired,feel scared,CC,body,body,mind,body,0.7,1,-0.06,13,0.76
subj_01,biological_reasoning,choose what to do,take a walk,see something,hear something,CO,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_01,biological_reasoning,get tired,choose what to do,become hungry,feel scared,CO,body,body,mind,body,0.53,3,-0.12,13,0.65
subj_01,biological_reasoning,jump up and down,get tired,take a walk,sit down,CO,action,action,body,action,0.66,2,-0.4,13,1.06
subj_01,biological_reasoning,remember something,feel scared,think about something,hear something,CO,mind,mind,body,mind,0.46,3,-0.09,12,0.55
subj_01,biological_reasoning,take a walk,see something,jump up and down,reach for something,CO,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_01,biological_reasoning,get sick,remember something,experience pain,become hungry,CO,body,body,mind,body,0.52,3,-0.05,13,0.5700000000000001
subj_01,biological_reasoning,sit down,experience pain,take a walk,jump up and down,CO,action,action,body,action,0.4,5,-0.57,13,0.97
subj_02,biological_reasoning,get tired,choose what to do,become hungry,feel scared,CO,body,body,mind,body,0.53,3,-0.12,13,0.65
subj_02,biological_reasoning,remember something,feel scared,think about something,hear something,CO,mind,mind,body,mind,0.46,3,-0.09,12,0.55
subj_02,biological_reasoning,get sick,remember something,experience pain,become hungry,CO,body,body,mind,body,0.52,3,-0.05,13,0.5700000000000001
subj_02,biological_reasoning,take a walk,see something,jump up and down,reach for something,CO,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_02,biological_reasoning,sit down,experience pain,take a walk,jump up and down,CO,action,action,body,action,0.4,5,-0.57,13,0.97
subj_02,biological_reasoning,choose what to do,take a walk,see something,hear something,CO,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_02,biological_reasoning,jump up and down,get tired,take a walk,sit down,CO,action,action,body,action,0.66,2,-0.4,13,1.06
subj_02,biological_reasoning,become hungry,think about something,get tired,feel scared,CO,body,body,mind,body,0.7,1,-0.06,13,0.76
subj_02,biological_reasoning,see something,take a walk,remember something,hear something,CO,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_03,causal_triads,choose what to do,take a walk,see something,hear something,CO,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_03,causal_triads,get sick,remember something,experience pain,become hungry,CO,body,body,mind,body,0.52,3,-0.05,13,0.5700000000000001
subj_03,causal_triads,see something,take a walk,remember something,hear something,CO,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_03,causal_triads,sit down,experience pain,take a walk,jump up and down,CO,action,action,body,action,0.4,5,-0.57,13,0.97
subj_03,causal_triads,take a walk,see something,jump up and down,reach for something,CO,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_03,causal_triads,become hungry,think about something,get tired,feel scared,CC,body,body,mind,body,0.7,1,-0.06,13,0.76
subj_03,causal_triads,remember something,feel scared,think about something,hear something,CO,mind,mind,body,mind,0.46,3,-0.09,12,0.55
subj_03,causal_triads,get tired,choose what to do,become hungry,feel scared,CC,body,body,mind,body,0.53,3,-0.12,13,0.65
subj_03,causal_triads,jump up and down,get tired,take a walk,sit down,CC,action,action,body,action,0.66,2,-0.4,13,1.06
subj_04,causal_triads,get tired,choose what to do,become hungry,feel scared,CO,body,body,mind,body,0.53,3,-0.12,13,0.65
subj_04,causal_triads,see something,take a walk,remember something,hear something,CC,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_04,causal_triads,choose what to do,take a walk,see something,hear something,CO,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_04,causal_triads,become hungry,think about something,get tired,feel scared,CO,body,body,mind,body,0.7,1,-0.06,13,0.76
subj_04,causal_triads,take a walk,see something,jump up and down,reach for something,CO,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_04,causal_triads,remember something,feel scared,think about something,hear something,CC,mind,mind,body,mind,0.46,3,-0.09,12,0.55
subj_04,causal_triads,jump up and down,get tired,take a walk,sit down,CC,action,action,body,action,0.66,2,-0.4,13,1.06
subj_04,causal_triads,get sick,remember something,experience pain,become hungry,CO,body,body,mind,body,0.52,3,-0.05,13,0.5700000000000001
subj_04,causal_triads,sit down,experience pain,take a walk,jump up and down,CO,action,action,body,action,0.4,5,-0.57,13,0.97
subj_05,biological_reasoning,remember something,feel scared,think about something,hear something,CO,mind,mind,body,mind,0.46,3,-0.09,12,0.55
subj_05,biological_reasoning,get tired,choose what to do,become hungry,feel scared,CO,body,body,mind,body,0.53,3,-0.12,13,0.65
subj_05,biological_reasoning,see something,take a walk,remember something,hear something,CO,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_05,biological_reasoning,jump up and down,get tired,take a walk,sit down,CO,action,action,body,action,0.66,2,-0.4,13,1.06
subj_05,biological_reasoning,take a walk,see something,jump up and down,reach for something,CO,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_05,biological_reasoning,get sick,remember something,experience pain,become hungry,CO,body,body,mind,body,0.52,3,-0.05,13,0.5700000000000001
subj_05,biological_reasoning,become hungry,think about something,get tired,feel scared,CO,body,body,mind,body,0.7,1,-0.06,13,0.76
subj_05,biological_reasoning,choose what to do,take a walk,see something,hear something,CO,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_05,biological_reasoning,sit down,experience pain,take a walk,jump up and down,CO,action,action,body,action,0.4,5,-0.57,13,0.97
subj_06,causal_triads,take a walk,see something,jump up and down,reach for something,CC,action,action,mind,action,0.54,6,-0.33,13,0.8700000000000001
subj_06,causal_triads,remember something,feel scared,think about something,hear something,CO,mind,mind,body,mind,0.46,3,-0.09,12,0.55
subj_06,causal_triads,sit down,experience pain,take a walk,jump up and down,CC,action,action,body,action,0.4,5,-0.57,13,0.97
subj_06,causal_triads,get sick,remember something,experience pain,become hungry,CC,body,body,mind,body,0.52,3,-0.05,13,0.5700000000000001
subj_06,causal_triads,choose what to do,take a walk,see something,hear something,CO,mind,mind,action,mind,0.49,1,-0.13,13,0.62
subj_06,causal_triads,get tired,choose what to do,become hungry,feel scared,CO,body,body,mind,body,0.53,3,-0.12,13,0.65
subj_06,causal_triads,jump up and down,get tired,take a walk,sit down,CC,action,action,body,action,0.66,2,-0.4,13,1.06
subj_06,causal_triads,see something,take a walk,remember something,hear something,CO,mind,mind,action,mind,0.58,1,0.05,13,0.5299999999999999
subj_06,causal_triads,become hungry,think about something,get tired,feel scared,CC,body,body,mind,body,0.7,1,-0.06,13,0.76
subj_07,causal_triads,sit down,experience pain,take a walk,jump up and down,CC,action,action,body,action,0.4,5,-0.57,13,0.97
