"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","5","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2708","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","2701","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","12089","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9380","","","[{""page_index"":0,""viewing_time"":9380}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","23423","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","11332","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","78","","similarity","become hungry","feel scared","50","78","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","34941","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","11518","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","75","","counterfactual","experience pain","","50","75","kick something","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","44829","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9887","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","59","","counterfactual","remember something","","50","59","take a walk","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","51232","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6402","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","23","","counterfactual","become hungry","","50","23","take a walk","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","59010","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7777","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","43","","counterfactual","jump up and down","","50","43","see something","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","65030","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6019","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","12","","similarity","kick something","sit down","50","12","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","73003","E1261C67B6514E73B28C737F31C8E7C6","0198e2e6-95b9-7464-8ff1-860540c6e427","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7972","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","50","","similarity","feel scared","get tired","50","50","","","","","","","",""
