"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","8","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","45734","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","45723","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","67267","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","21533","","","[{""page_index"":0,""viewing_time"":21533}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","88393","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","21124","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","76","","counterfactual","get tired","jump up and down","50","76","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","101180","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","12786","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","0","","similarity","choose what to do","","50","0","remember something","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","109065","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7884","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","0","","counterfactual","jump up and down","see something","50","0","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","124985","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","15919","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","99","","similarity","get tired","","50","99","feel scared","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","132861","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7875","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","73","","counterfactual","feel scared","see something","50","73","","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","141568","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8706","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","75","","counterfactual","kick something","think about something","50","75","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","151629","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10059","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","26","","counterfactual","hear something","take a walk","50","26","","","","","","","",""
"","","","","","html-slider-response","10","2.1.0","163297","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","11667","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","2","","counterfactual","take a walk","think about something","50","2","","","","","","","",""
"","","","","","html-slider-response","11","2.1.0","174323","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","11024","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","100","","similarity","sit down","","50","100","jump up and down","","","","","","",""
"","","","","","html-slider-response","12","2.1.0","184911","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10587","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","99","","counterfactual","sit down","experience pain","50","99","","","","","","","",""
"","","","","","html-slider-response","13","2.1.0","197385","90A37560318749458F8EA39935DC367F","0198e2e6-a4b1-7b5b-bffb-342bb5c6c842","0198e2d6-5c2e-73f5-8451-25a6796d814f","","12473","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","74","","similarity","jump up and down","","50","74","sit down","","","","","","",""
