target,counterfactual,counterfactual_type,domain_target,domain_counterfactual,mean_likelihood,joint_distance
see something,hear something,Intrinsic,mind,mind,50.71153846153847,-0.408516381453991
see something,take a walk,Direct,mind,action,34.375,0.687394466715819
hear something,see something,Intrinsic,mind,mind,66.42307692307693,-0.443286773937966
hear something,take a walk,Direct,mind,action,33.94230769230769,0.623384559630522
choose what to do,experience pain,Direct,mind,bio,33.41346153846154,0.660296333931254
choose what to do,remember something,Intrinsic,mind,mind,30.413461538461537,0.323294289388825
remember something,take a walk,Direct,mind,action,37.58653846153847,0.694183445923515
remember something,think about something,Intrinsic,mind,mind,28.048076923076923,0
think about something,get sick,Direct,mind,bio,35.96153846153847,0.765914478883133
think about something,remember something,Intrinsic,mind,mind,32.11538461538461,-0.00623408552111687
reach for something,become hungry,Direct,action,bio,35.50961538461539,0.645749617403934
reach for something,kick something,Intrinsic,action,action,47.23076923076923,-0.13548967696474
sit down,experience pain,Direct,action,bio,41.25,0.793763874765499
sit down,jump up and down,Intrinsic,action,action,51.34615384615385,-0.313736728248269
jump up and down,see something,Direct,action,mind,31.509615384615383,0.628530570856441
jump up and down,sit down,Intrinsic,action,action,58.73076923076923,-0.699986618493242
kick something,sit down,Intrinsic,action,action,46.84615384615385,-0.305238173137287
kick something,think about something,Direct,action,mind,32.0673076923077,0.502555557603885
take a walk,sit down,Intrinsic,action,action,76.15384615384616,-0.569624024308214
take a walk,think about something,Direct,action,mind,33.64423076923077,0.614726481543643
get tired,feel scared,Intrinsic,bio,bio,59.89423076923077,0.0330748924829593
get tired,jump up and down,Direct,bio,action,31.134615384615383,0.733751406429964
become hungry,feel scared,Intrinsic,bio,bio,75.58653846153847,-0.202395424828884
become hungry,take a walk,Direct,bio,action,30.211538461538463,0.65485166213788
feel scared,get tired,Intrinsic,bio,bio,56.05769230769231,-0.0810703353684762
feel scared,see something,Direct,bio,mind,32.40384615384615,0.714539585755126
experience pain,get tired,Intrinsic,bio,bio,58.04807692307692,0.0410205983205475
experience pain,kick something,Direct,bio,action,37.54807692307693,0.646725260723485
get sick,get tired,Intrinsic,bio,bio,55.53846153846154,-0.0573565523683428
get sick,see something,Direct,bio,mind,29.644230769230766,0.548927278190364
