target,explanation,explanation_type,domain_target,domain_explanation,mean_satisfactory,joint_distance
see something,hear something,Intrinsic,mind,mind,39.11764705882353,-0.408516381453991
see something,take a walk,Direct,mind,action,68.47058823529412,0.687394466715819
hear something,see something,Intrinsic,mind,mind,33.5,-0.443286773937966
hear something,take a walk,Direct,mind,action,51.83333333333333,0.623384559630522
choose what to do,feel scared,Direct,mind,bio,49.33333333333333,0.62497604129865
choose what to do,remember something,Intrinsic,mind,mind,68.62745098039215,0.323294289388825
remember something,take a walk,Direct,mind,action,53.627450980392155,0.694183445923515
remember something,think about something,Intrinsic,mind,mind,76.15686274509804,0
think about something,remember something,Intrinsic,mind,mind,72.95098039215686,-0.00623408552111687
think about something,take a walk,Direct,mind,action,56.15686274509804,0.71798401073848
reach for something,become hungry,Direct,action,bio,62.59803921568628,0.645749617403934
reach for something,kick something,Intrinsic,action,action,25.941176470588236,-0.13548967696474
sit down,experience pain,Direct,action,bio,75.2843137254902,0.793763874765499
sit down,jump up and down,Intrinsic,action,action,31.098039215686274,-0.313736728248269
jump up and down,sit down,Intrinsic,action,action,8.617647058823527,-0.699986618493242
jump up and down,think about something,Direct,action,mind,47.18627450980392,0.595025211903133
kick something,jump up and down,Intrinsic,action,action,36.33333333333333,-0.348211562033071
kick something,think about something,Direct,action,mind,41.63725490196079,0.502555557603885
take a walk,jump up and down,Intrinsic,action,action,14.705882352941176,-0.589233741836461
take a walk,think about something,Direct,action,mind,49.96078431372549,0.614726481543643
get tired,feel scared,Intrinsic,bio,bio,24.470588235294116,0.0330748924829593
get tired,jump up and down,Direct,bio,action,73.55882352941177,0.733751406429964
become hungry,experience pain,Intrinsic,bio,bio,14.558823529411764,-0.223435174131189
become hungry,take a walk,Direct,bio,action,56.91176470588235,0.65485166213788
feel scared,become hungry,Intrinsic,bio,bio,11.57843137254902,-0.0490896034222632
feel scared,see something,Direct,bio,mind,75.4607843137255,0.714539585755126
experience pain,feel scared,Intrinsic,bio,bio,33.98039215686275,-0.0242821181159248
experience pain,kick something,Direct,bio,action,76.99019607843137,0.646725260723485
get sick,get tired,Intrinsic,bio,bio,31.401960784313722,-0.0573565523683428
get sick,see something,Direct,bio,mind,36.64705882352941,0.548927278190364
