subject_id,condition,itemB,causal_itemA,similar_itemA,response,domain_itemB,domain_causalitemA,domain_similaritemA,causal_distance_causal_choice,freesort_distance_causal_choice,freesort_minus_causal_distance_causal,causal_distance_similar_choice,freesort_distance_similar_choice,freesort_minus_causal_distance_similar
subj_01,Direct,experience pain,kick something,get tired,Direct,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_01,Direct,get tired,jump up and down,feel scared,Direct,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_01,Direct,get sick,see something,get tired,Intrinsic,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_01,Direct,feel scared,see something,get tired,Direct,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_01,Direct,sit down,experience pain,jump up and down,Intrinsic,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_01,Direct,choose what to do,experience pain,remember something,Intrinsic,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_01,Direct,become hungry,take a walk,feel scared,Direct,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_01,Direct,see something,take a walk,hear something,Direct,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_01,Direct,think about something,get sick,remember something,Intrinsic,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_01,Direct,jump up and down,see something,sit down,Intrinsic,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_01,Direct,kick something,think about something,sit down,Direct,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_01,Direct,take a walk,think about something,sit down,Intrinsic,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_01,Direct,hear something,take a walk,see something,Direct,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_01,Direct,reach for something,become hungry,kick something,Intrinsic,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_01,Direct,remember something,take a walk,think about something,Intrinsic,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_02,Direct,experience pain,kick something,get tired,Direct,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_02,Direct,see something,take a walk,hear something,Direct,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_02,Direct,get sick,see something,get tired,Direct,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_02,Direct,take a walk,think about something,sit down,Direct,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_02,Direct,choose what to do,experience pain,remember something,Intrinsic,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_02,Direct,feel scared,see something,get tired,Direct,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_02,Direct,remember something,take a walk,think about something,Intrinsic,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_02,Direct,become hungry,take a walk,feel scared,Direct,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_02,Direct,hear something,take a walk,see something,Direct,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_02,Direct,get tired,jump up and down,feel scared,Direct,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_02,Direct,jump up and down,see something,sit down,Direct,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_02,Direct,think about something,get sick,remember something,Intrinsic,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_02,Direct,sit down,experience pain,jump up and down,Direct,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_02,Direct,reach for something,become hungry,kick something,Intrinsic,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_02,Direct,kick something,think about something,sit down,Direct,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_03,Intrinsic,take a walk,think about something,sit down,Intrinsic,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_03,Intrinsic,get tired,jump up and down,feel scared,Direct,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_03,Intrinsic,kick something,think about something,sit down,Direct,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_03,Intrinsic,become hungry,take a walk,feel scared,Direct,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_03,Intrinsic,feel scared,see something,get tired,Direct,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_03,Intrinsic,see something,take a walk,hear something,Intrinsic,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_03,Intrinsic,jump up and down,see something,sit down,Direct,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_03,Intrinsic,get sick,see something,get tired,Intrinsic,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_03,Intrinsic,hear something,take a walk,see something,Intrinsic,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_03,Intrinsic,reach for something,become hungry,kick something,Intrinsic,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_03,Intrinsic,remember something,take a walk,think about something,Intrinsic,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_03,Intrinsic,experience pain,kick something,get tired,Direct,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_03,Intrinsic,sit down,experience pain,jump up and down,Direct,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_03,Intrinsic,think about something,get sick,remember something,Intrinsic,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_03,Intrinsic,choose what to do,experience pain,remember something,Intrinsic,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_04,Direct,get sick,see something,get tired,Intrinsic,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_04,Direct,take a walk,think about something,sit down,Direct,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_04,Direct,get tired,jump up and down,feel scared,Direct,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_04,Direct,sit down,experience pain,jump up and down,Direct,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
