subject_id,condition,itemB,causal_itemA,similar_itemA,response,domain_itemB,domain_causalitemA,domain_similaritemA,causal_distance_causal_choice,freesort_distance_causal_choice,freesort_minus_causal_distance_causal,causal_distance_similar_choice,freesort_distance_similar_choice,freesort_minus_causal_distance_similar
subj_01,ordinary,experience pain,kick something,get tired,causal,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_01,ordinary,get tired,jump up and down,feel scared,causal,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_01,ordinary,get sick,see something,get tired,similar,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_01,ordinary,feel scared,see something,get tired,causal,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_01,ordinary,sit down,experience pain,jump up and down,similar,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_01,ordinary,choose what to do,experience pain,remember something,similar,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_01,ordinary,become hungry,take a walk,feel scared,causal,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_01,ordinary,see something,take a walk,hear something,causal,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_01,ordinary,think about something,get sick,remember something,similar,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_01,ordinary,jump up and down,see something,sit down,similar,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_01,ordinary,kick something,think about something,sit down,causal,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_01,ordinary,take a walk,think about something,sit down,similar,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_01,ordinary,hear something,take a walk,see something,causal,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_01,ordinary,reach for something,become hungry,kick something,similar,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_01,ordinary,remember something,take a walk,think about something,similar,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_02,ordinary,experience pain,kick something,get tired,causal,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_02,ordinary,see something,take a walk,hear something,causal,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_02,ordinary,get sick,see something,get tired,causal,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_02,ordinary,take a walk,think about something,sit down,causal,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_02,ordinary,choose what to do,experience pain,remember something,similar,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_02,ordinary,feel scared,see something,get tired,causal,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_02,ordinary,remember something,take a walk,think about something,similar,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_02,ordinary,become hungry,take a walk,feel scared,causal,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_02,ordinary,hear something,take a walk,see something,causal,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_02,ordinary,get tired,jump up and down,feel scared,causal,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_02,ordinary,jump up and down,see something,sit down,causal,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_02,ordinary,think about something,get sick,remember something,similar,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_02,ordinary,sit down,experience pain,jump up and down,causal,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_02,ordinary,reach for something,become hungry,kick something,similar,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_02,ordinary,kick something,think about something,sit down,causal,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_03,magical,take a walk,think about something,sit down,similar,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_03,magical,get tired,jump up and down,feel scared,causal,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_03,magical,kick something,think about something,sit down,causal,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_03,magical,become hungry,take a walk,feel scared,causal,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_03,magical,feel scared,see something,get tired,causal,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_03,magical,see something,take a walk,hear something,similar,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_03,magical,jump up and down,see something,sit down,causal,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_03,magical,get sick,see something,get tired,similar,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_03,magical,hear something,take a walk,see something,similar,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_03,magical,reach for something,become hungry,kick something,similar,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_03,magical,remember something,take a walk,think about something,similar,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_03,magical,experience pain,kick something,get tired,causal,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_03,magical,sit down,experience pain,jump up and down,causal,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_03,magical,think about something,get sick,remember something,similar,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_03,magical,choose what to do,experience pain,remember something,similar,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_04,ordinary,get sick,see something,get tired,similar,bio,mind,bio,0.38,0.62,0.25,0.39,0.34,-0.06
subj_04,ordinary,take a walk,think about something,sit down,causal,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_04,ordinary,get tired,jump up and down,feel scared,causal,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_04,ordinary,sit down,experience pain,jump up and down,causal,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_04,ordinary,hear something,take a walk,see something,causal,mind,action,mind,0.25,0.58,0.33,0.44,0.18,-0.27
subj_04,ordinary,choose what to do,experience pain,remember something,similar,mind,bio,mind,0.2,0.57,0.36,0.15,0.36,0.22
subj_04,ordinary,feel scared,see something,get tired,causal,bio,mind,bio,0.12,0.54,0.42,0.51,0.4,-0.11
subj_04,ordinary,think about something,get sick,remember something,similar,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_04,ordinary,kick something,think about something,sit down,causal,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_04,ordinary,remember something,take a walk,think about something,similar,mind,action,mind,0.24,0.61,0.37,0.07,0.15,0.08
subj_04,ordinary,become hungry,take a walk,feel scared,causal,bio,action,bio,0.18,0.55,0.37,0.67,0.44,-0.22
subj_04,ordinary,jump up and down,see something,sit down,causal,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_04,ordinary,see something,take a walk,hear something,causal,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
subj_04,ordinary,experience pain,kick something,get tired,causal,bio,action,bio,0.13,0.51,0.38,0.43,0.41,-0.02
subj_04,ordinary,reach for something,become hungry,kick something,causal,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_05,ordinary,get tired,jump up and down,feel scared,causal,bio,action,bio,0.1,0.54,0.43,0.42,0.4,-0.02
subj_05,ordinary,take a walk,think about something,sit down,causal,action,mind,action,0.26,0.58,0.32,0.77,0.33,-0.44
subj_05,ordinary,kick something,think about something,sit down,causal,action,mind,action,0.37,0.6,0.23,0.7,0.42,-0.29
subj_05,ordinary,think about something,get sick,remember something,similar,mind,bio,mind,0.25,0.65,0.4,0.08,0.15,0.08
subj_05,ordinary,reach for something,become hungry,kick something,causal,action,bio,action,0.21,0.56,0.35,0.54,0.4,-0.15
subj_05,ordinary,sit down,experience pain,jump up and down,similar,action,bio,action,0.13,0.58,0.45,0.54,0.3,-0.23
subj_05,ordinary,jump up and down,see something,sit down,causal,action,mind,action,0.29,0.6,0.32,0.83,0.3,-0.52
subj_05,ordinary,see something,take a walk,hear something,causal,mind,action,mind,0.2,0.58,0.38,0.42,0.18,-0.24
