subject_id,itemB,causal_itemA,similar_itemA,explanation_type,likelihood,causal_itemA_causal_distance,causal_itemA_freesort_distance,causal_itemA_freesort_minus_causal,similar_itemA_causal_distance,similar_itemA_freesort_distance,similar_itemA_freesort_minus_causal
subj_01,think about something,take a walk,remember something,causal,11,0.15,0.86,0.72,0.01,0,-0.01
subj_01,think about something,take a walk,remember something,similar,100,0.15,0.86,0.72,0.01,0,-0.01
subj_01,kick something,think about something,jump up and down,causal,25,0.4,0.9,0.5,0.61,0.26,-0.35
subj_01,kick something,think about something,jump up and down,similar,51,0.4,0.9,0.5,0.61,0.26,-0.35
subj_01,jump up and down,think about something,sit down,causal,56,0.39,0.99,0.6,1,0.3,-0.7
subj_01,jump up and down,think about something,sit down,similar,7,0.39,0.99,0.6,1,0.3,-0.7
subj_01,become hungry,take a walk,experience pain,causal,100,0.14,0.79,0.65,0.72,0.49,-0.22
subj_01,become hungry,take a walk,experience pain,similar,31,0.14,0.79,0.65,0.72,0.49,-0.22
subj_01,get tired,jump up and down,feel scared,causal,100,0.04,0.78,0.73,0.47,0.5,0.03
subj_01,get tired,jump up and down,feel scared,similar,62,0.04,0.78,0.73,0.47,0.5,0.03
subj_01,choose what to do,feel scared,remember something,causal,87,0.16,0.78,0.62,0.1,0.42,0.32
subj_01,choose what to do,feel scared,remember something,similar,100,0.16,0.78,0.62,0.1,0.42,0.32
subj_01,reach for something,become hungry,kick something,causal,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_01,reach for something,become hungry,kick something,similar,69,0.18,0.83,0.65,0.62,0.49,-0.14
subj_01,get sick,see something,get tired,causal,100,0.4,0.95,0.55,0.42,0.37,-0.06
subj_01,get sick,see something,get tired,similar,74,0.4,0.95,0.55,0.42,0.37,-0.06
subj_01,remember something,take a walk,think about something,causal,69,0.22,0.91,0.69,0,0,0
subj_01,remember something,take a walk,think about something,similar,60,0.22,0.91,0.69,0,0,0
subj_01,hear something,take a walk,see something,causal,67,0.23,0.86,0.62,0.49,0.05,-0.44
subj_01,hear something,take a walk,see something,similar,49,0.23,0.86,0.62,0.49,0.05,-0.44
subj_01,take a walk,think about something,jump up and down,causal,76,0.25,0.86,0.61,0.76,0.17,-0.59
subj_01,take a walk,think about something,jump up and down,similar,9,0.25,0.86,0.61,0.76,0.17,-0.59
subj_01,sit down,experience pain,jump up and down,causal,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_01,sit down,experience pain,jump up and down,similar,70,0.08,0.87,0.79,0.61,0.3,-0.31
subj_01,see something,take a walk,hear something,causal,88,0.17,0.86,0.69,0.46,0.05,-0.41
subj_01,see something,take a walk,hear something,similar,50,0.17,0.86,0.69,0.46,0.05,-0.41
subj_01,experience pain,kick something,feel scared,causal,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_01,experience pain,kick something,feel scared,similar,84,0.07,0.72,0.65,0.34,0.32,-0.02
subj_01,feel scared,see something,become hungry,causal,100,0.06,0.78,0.71,0.63,0.58,-0.05
subj_01,feel scared,see something,become hungry,similar,24,0.06,0.78,0.71,0.63,0.58,-0.05
subj_02,see something,take a walk,hear something,causal,80,0.17,0.86,0.69,0.46,0.05,-0.41
subj_02,see something,take a walk,hear something,similar,80,0.17,0.86,0.69,0.46,0.05,-0.41
subj_02,kick something,think about something,jump up and down,causal,42,0.4,0.9,0.5,0.61,0.26,-0.35
subj_02,kick something,think about something,jump up and down,similar,43,0.4,0.9,0.5,0.61,0.26,-0.35
subj_02,jump up and down,think about something,sit down,causal,87,0.39,0.99,0.6,1,0.3,-0.7
subj_02,jump up and down,think about something,sit down,similar,57,0.39,0.99,0.6,1,0.3,-0.7
subj_02,get tired,jump up and down,feel scared,causal,54,0.04,0.78,0.73,0.47,0.5,0.03
subj_02,get tired,jump up and down,feel scared,similar,56,0.04,0.78,0.73,0.47,0.5,0.03
subj_02,take a walk,think about something,jump up and down,causal,71,0.25,0.86,0.61,0.76,0.17,-0.59
subj_02,take a walk,think about something,jump up and down,similar,50,0.25,0.86,0.61,0.76,0.17,-0.59
subj_02,become hungry,take a walk,experience pain,causal,80,0.14,0.79,0.65,0.72,0.49,-0.22
subj_02,become hungry,take a walk,experience pain,similar,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_02,think about something,take a walk,remember something,causal,74,0.15,0.86,0.72,0.01,0,-0.01
subj_02,think about something,take a walk,remember something,similar,71,0.15,0.86,0.72,0.01,0,-0.01
subj_02,remember something,take a walk,think about something,causal,76,0.22,0.91,0.69,0,0,0
subj_02,remember something,take a walk,think about something,similar,71,0.22,0.91,0.69,0,0,0
subj_02,feel scared,see something,become hungry,causal,72,0.06,0.78,0.71,0.63,0.58,-0.05
subj_02,feel scared,see something,become hungry,similar,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_02,sit down,experience pain,jump up and down,causal,2,0.08,0.87,0.79,0.61,0.3,-0.31
subj_02,sit down,experience pain,jump up and down,similar,43,0.08,0.87,0.79,0.61,0.3,-0.31
subj_02,hear something,take a walk,see something,causal,60,0.23,0.86,0.62,0.49,0.05,-0.44
subj_02,hear something,take a walk,see something,similar,63,0.23,0.86,0.62,0.49,0.05,-0.44
subj_02,reach for something,become hungry,kick something,causal,80,0.18,0.83,0.65,0.62,0.49,-0.14
subj_02,reach for something,become hungry,kick something,similar,40,0.18,0.83,0.65,0.62,0.49,-0.14
subj_02,choose what to do,feel scared,remember something,causal,9,0.16,0.78,0.62,0.1,0.42,0.32
subj_02,choose what to do,feel scared,remember something,similar,68,0.16,0.78,0.62,0.1,0.42,0.32
subj_02,get sick,see something,get tired,causal,5,0.4,0.95,0.55,0.42,0.37,-0.06
subj_02,get sick,see something,get tired,similar,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_02,experience pain,kick something,feel scared,causal,0,0.07,0.72,0.65,0.34,0.32,-0.02
