"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","6","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","12087","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","12080","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","16791","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4703","","","[{""page_index"":0,""viewing_time"":4703}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","27206","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10414","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","25","","similarity","feel scared","get tired","50","25","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","29924","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","2717","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","75","","similarity","remember something","think about something","50","75","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","38577","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8652","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","25","","counterfactual","get tired","","50","25","jump up and down","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","44270","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5692","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","76","","counterfactual","experience pain","","50","76","kick something","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","50746","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6475","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","77","","counterfactual","feel scared","","50","77","see something","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","57753","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7006","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","26","","counterfactual","choose what to do","","50","26","experience pain","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","61865","8FD48F2ED02A4A36B643A64C8342D78D","0198e2e6-67e2-784c-b31d-3582e68bdd38","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4111","<p style=""font-size: 25px;"">A person <strong>got sick</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get sick</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","25","","counterfactual","kick something","","50","25","think about something","","","","","","",""
