"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","9","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","267642","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","267630","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","272739","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5093","","","[{""page_index"":0,""viewing_time"":5093}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","279455","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6695","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","24","","similarity","experience pain","get tired","50","24","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","286447","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6989","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","0","","counterfactual","get tired","","50","0","jump up and down","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","291310","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4861","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","0","","counterfactual","remember something","","50","0","take a walk","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","295759","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4445","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","78","","similarity","reach for something","kick something","50","78","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","300165","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4404","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","10","","counterfactual","become hungry","","50","10","take a walk","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","311982","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","11813","<p style=""font-size: 25px;"">A person <strong>got sick</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get sick</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","50","","counterfactual","jump up and down","","50","50","see something","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","316864","9A07D92FA3774B5AA8B154A072559A9B","0198e2e6-6459-7801-bfa2-d0aee81ec45d","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4878","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","74","","similarity","get sick","get tired","50","74","","","","","","","",""
