"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","10","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2952","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","2939","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","18334","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","15380","","","[{""page_index"":0,""viewing_time"":15380}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","31921","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","13585","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","96","","similarity","hear something","see something","50","96","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","42444","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10521","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","100","","counterfactual","get tired","","50","100","jump up and down","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","51479","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9032","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","75","","similarity","reach for something","kick something","50","75","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","61428","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9948","<p style=""font-size: 25px;"">A person <strong>heard something</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>hear something</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","75","","similarity","see something","hear something","50","75","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","69664","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8233","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","24","","counterfactual","reach for something","","50","24","become hungry","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","78690","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9024","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","25","","similarity","think about something","remember something","50","25","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","87220","EAF9D111AF6944BAB759F9C1062EEBF6","0198e2e6-76c6-7990-8663-1504ecd14b90","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8527","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely not""</strong></p>","0","","attention_check_counterfactual","","","50","","","0","yes","","","","",""
