"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","12","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","18741","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","18724","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","161176","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","142429","","","[{""page_index"":0,""viewing_time"":142428}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","168829","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7640","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","76","","counterfactual","think about something","get sick","50","76","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","173821","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4986","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","100","","counterfactual","take a walk","think about something","50","100","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","182421","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8596","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","50","","similarity","experience pain","","50","50","get tired","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","188345","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5919","<p style=""font-size: 25px;"">A person <strong>heard something</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>hear something</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","27","","similarity","see something","","50","27","hear something","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","191772","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","3421","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","24","","similarity","hear something","","50","24","see something","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","200136","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8359","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","99","","similarity","become hungry","","50","99","feel scared","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","207866","EA2FB03970FF4BFD99ED002B7929A284","0198e2e6-ac05-77a5-be07-a88ab3899db3","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7723","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","25","","similarity","kick something","","50","25","sit down","","","","","","",""
