"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","7","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","16500","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","16492","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","89182","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","72680","","","[{""page_index"":0,""viewing_time"":72680}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","105550","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","16366","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","25","","similarity","choose what to do","remember something","50","25","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","115314","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9763","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","95","","similarity","get tired","feel scared","50","95","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","123495","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8179","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","80","","similarity","become hungry","feel scared","50","80","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","131323","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7827","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","37","","counterfactual","take a walk","","50","37","think about something","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","138549","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7225","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","75","","similarity","jump up and down","sit down","50","75","","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","152041","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","13491","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","59","","similarity","sit down","jump up and down","50","59","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","159041","524DA680547E4D14B71D31609C5ACF90","0198e2e6-785d-7305-bead-bf2e311fd5ba","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6999","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","85","","similarity","take a walk","sit down","50","85","","","","","","","",""
