"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","5","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","27786","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","27772","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","43783","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","15981","","","[{""page_index"":0,""viewing_time"":15981}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","65471","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","21680","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","75","","similarity","get sick","get tired","50","75","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","78739","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","13264","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","87","","similarity","take a walk","sit down","50","87","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","86789","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8048","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","90","","similarity","jump up and down","sit down","50","90","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","96856","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10064","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","25","","similarity","sit down","jump up and down","50","25","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","107755","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10897","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","12","","counterfactual","reach for something","","50","12","become hungry","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","122256","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","14498","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","43","","similarity","choose what to do","remember something","50","43","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","130290","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8032","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","62","","similarity","reach for something","kick something","50","62","","","","","","","",""
"","","","","","html-slider-response","10","2.1.0","140455","616F852D5C134A20958DE7774655FB7B","0198e2e6-6eb4-7430-af68-b6577a2ea70f","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10164","<p style=""font-size: 25px;"">A person <strong>got sick</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get sick</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","63","","counterfactual","jump up and down","","50","63","see something","","","","","","",""
