"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","7","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","5076","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","5066","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","7636","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","2558","","","[{""page_index"":0,""viewing_time"":2558}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","27910","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","20271","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","27","","counterfactual","get sick","see something","50","27","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","38173","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10261","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","75","","counterfactual","take a walk","think about something","50","75","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","42995","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4820","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","50","","similarity","jump up and down","","50","50","sit down","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","50824","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7827","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","76","","similarity","think about something","","50","76","remember something","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","476836","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","426011","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","76","","counterfactual","feel scared","see something","50","76","","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","483803","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6963","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","18","","similarity","hear something","","50","18","see something","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","488786","634AE41E2B1A4F24A17D716F7BEA7964","0198e2e6-6c19-775c-a62d-5b10e5b4e218","0198e2d6-5c2e-73f5-8451-25a6796d814f","","4982","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt hungry</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely yes""</strong></p>","100","","attention_check_similarity","","","50","","","100","yes","","","","",""
