"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","11","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","22005","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","21991","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","36412","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","14406","","","[{""page_index"":0,""viewing_time"":14406}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","44646","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8232","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","24","","counterfactual","become hungry","take a walk","50","24","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","58963","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","14315","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","74","","counterfactual","see something","take a walk","50","74","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","67038","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8073","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","25","","similarity","reach for something","","50","25","kick something","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","72561","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5521","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely not""</strong></p>","0","","attention_check_counterfactual","","","50","","","0","yes","","","","",""
"","","","","","html-slider-response","7","2.1.0","87176","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","14613","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","25","","similarity","hear something","","50","25","see something","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","95260","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8081","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","24","","counterfactual","hear something","take a walk","50","24","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","104507","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9244","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","25","","counterfactual","remember something","take a walk","50","25","","","","","","","",""
"","","","","","html-slider-response","10","2.1.0","111268","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6760","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","26","","similarity","get sick","","50","26","get tired","","","","","","",""
"","","","","","html-slider-response","11","2.1.0","120128","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8858","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","25","","counterfactual","get sick","see something","50","25","","","","","","","",""
"","","","","","html-slider-response","12","2.1.0","126125","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5995","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","24","","similarity","think about something","","50","24","remember something","","","","","","",""
"","","","","","html-slider-response","13","2.1.0","132492","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6365","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","25","","counterfactual","get tired","jump up and down","50","25","","","","","","","",""
"","","","","","html-slider-response","14","2.1.0","139278","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6784","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","24","","similarity","kick something","","50","24","sit down","","","","","","",""
"","","","","","html-slider-response","15","2.1.0","147611","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8332","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","0","","counterfactual","take a walk","think about something","50","0","","","","","","","",""
"","","","","","html-slider-response","16","2.1.0","157868","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10255","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","74","","counterfactual","think about something","get sick","50","74","","","","","","","",""
"","","","","","html-slider-response","17","2.1.0","163625","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5755","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt hungry</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely yes""</strong></p>","100","","attention_check_similarity","","","50","","","100","yes","","","","",""
"","","","","","html-slider-response","18","2.1.0","170368","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6741","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","75","","similarity","take a walk","","50","75","sit down","","","","","","",""
"","","","","","html-slider-response","19","2.1.0","178368","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","7999","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","0","","counterfactual","reach for something","become hungry","50","0","","","","","","","",""
"","","","","","html-slider-response","20","2.1.0","184088","C5B6D821BBFD4850B0ED8584E8EC69DF","0198e2e6-9045-7701-bede-e176c77f171e","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5718","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","27","","similarity","experience pain","","50","27","get tired","","","","","","",""
