"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","5","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","8130","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","8123","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","39775","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","31643","","","[{""page_index"":0,""viewing_time"":31643}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","49263","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9486","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","37","","counterfactual","reach for something","become hungry","50","37","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","82967","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","33702","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","29","","counterfactual","feel scared","see something","50","29","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","90997","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8029","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","68","","similarity","feel scared","","50","68","get tired","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","96859","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","5860","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","19","","counterfactual","think about something","get sick","50","19","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","149396","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","52536","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","42","","similarity","experience pain","","50","42","get tired","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","256085","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","106591","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","19","","counterfactual","get sick","see something","50","19","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","262377","D41CB348E50F40EB969B97D565451026","0198e2e6-a352-7cd0-a31a-a78bb51a8b5c","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6291","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","0","","counterfactual","choose what to do","experience pain","50","0","","","","","","","",""
