"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","attn_response","attn_correct","similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","5","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","15822","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","consent","15815","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","23946","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8124","","","[{""page_index"":0,""viewing_time"":8123}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","35643","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","11696","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","86","","counterfactual","sit down","experience pain","50","86","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","47817","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","12173","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt hungry</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely yes""</strong></p>","100","","attention_check_similarity","","","50","","100","yes","","","","","",""
"","","","","","html-slider-response","5","2.1.0","57253","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9435","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","24","","similarity","kick something","","50","24","","","sit down","","","","",""
"","","","","","html-slider-response","6","2.1.0","65825","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8571","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","52","","counterfactual","see something","take a walk","50","52","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","75896","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","10070","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","41","","counterfactual","get sick","see something","50","41","","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","85112","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","9215","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","75","","similarity","choose what to do","","50","75","","","remember something","","","","",""
"","","","","","html-slider-response","9","2.1.0","91639","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6526","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","25","","counterfactual","reach for something","become hungry","50","25","","","","","","","",""
"","","","","","html-slider-response","10","2.1.0","99652","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","8012","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","14","","similarity","become hungry","","50","14","","","feel scared","","","","",""
"","","","","","html-slider-response","11","2.1.0","106388","9A295151D51149AEAC48FDD3DA0467FD","0198e2e6-b739-7c58-bdbb-8d469f5cddde","0198e2d6-5c2e-73f5-8451-25a6796d814f","","6735","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","74","","counterfactual","hear something","take a walk","50","74","","","","","","","",""
