"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","4","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","3200","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","consent","3193","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $1.25.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","18362","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","15161","","","[{""page_index"":0,""viewing_time"":15161}]","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","43877","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","25509","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","35","","causal","feel scared","see something","50","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","55459","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","11579","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>sat down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","similar","jump up and down","","50","sit down","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","63835","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","8372","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","3","","similar","get sick","","50","get tired","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","75760","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","11923","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","similar","become hungry","","50","experience pain","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","85628","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","9865","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","67","","similar","kick something","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","92044","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6412","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","87","","causal","sit down","experience pain","50","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","98971","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6925","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Extremely satisfying""</strong></p>","100","","attention_check_1","","","50","","100","yes","","","","",""
"","","","","","html-slider-response","10","2.1.0","106626","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7652","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","37","","similar","hear something","","50","see something","","","","","","",""
"","","","","","html-slider-response","11","2.1.0","111808","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","5179","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","73","","causal","get tired","jump up and down","50","","","","","","","",""
"","","","","","html-slider-response","12","2.1.0","119139","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7329","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","similar","remember something","","50","think about something","","","","","","",""
"","","","","","html-slider-response","13","2.1.0","126459","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7317","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","24","","similar","experience pain","","50","feel scared","","","","","","",""
"","","","","","html-slider-response","14","2.1.0","132570","4EFF0C55886D4D5DB373C46B17F00B30","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6109","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","similar","sit down","","50","jump up and down","","","","","","",""
