"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","6","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","3040","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","consent","3031","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $1.25.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","34421","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","31379","","","[{""page_index"":0,""viewing_time"":31379}]","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","237424","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","202999","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","49","","similar","kick something","jump up and down","50","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","244507","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7080","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","98","","causal","reach for something","","50","become hungry","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","269055","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","24543","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","4","","similar","take a walk","jump up and down","50","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","272377","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3318","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","98","","causal","take a walk","","50","think about something","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","275735","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3355","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","93","","causal","kick something","","50","think about something","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","278271","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2532","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","87","","similar","become hungry","experience pain","50","","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","285209","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6935","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Extremely satisfying""</strong></p>","100","","attention_check_1","","","50","","100","yes","","","","",""
"","","","","","html-slider-response","10","2.1.0","289706","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4492","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","4","","similar","feel scared","become hungry","50","","","","","","","",""
"","","","","","html-slider-response","11","2.1.0","296424","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","6715","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>sat down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","50","","similar","jump up and down","sit down","50","","","","","","","",""
"","","","","","html-slider-response","12","2.1.0","300192","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3764","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","69","","causal","become hungry","","50","take a walk","","","","","","",""
"","","","","","html-slider-response","13","2.1.0","304884","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4689","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","65","","similar","reach for something","kick something","50","","","","","","","",""
"","","","","","html-slider-response","14","2.1.0","308993","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4105","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","97","","causal","get tired","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","15","2.1.0","370177","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","61182","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","similar","think about something","remember something","50","","","","","","","",""
"","","","","","html-slider-response","16","2.1.0","372274","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2093","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","98","","causal","feel scared","","50","see something","","","","","","",""
"","","","","","html-slider-response","17","2.1.0","376242","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3965","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","89","","causal","choose what to do","","50","feel scared","","","","","","",""
"","","","","","html-slider-response","18","2.1.0","379968","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3723","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","93","","similar","get sick","get tired","50","","","","","","","",""
"","","","","","html-slider-response","19","2.1.0","382591","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2620","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","causal","think about something","","50","take a walk","","","","","","",""
"","","","","","html-slider-response","20","2.1.0","385548","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2954","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","causal","hear something","","50","take a walk","","","","","","",""
"","","","","","html-slider-response","21","2.1.0","387643","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2091","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","similar","hear something","see something","50","","","","","","","",""
"","","","","","html-slider-response","22","2.1.0","392299","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4653","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","59","","similar","experience pain","feel scared","50","","","","","","","",""
"","","","","","html-slider-response","23","2.1.0","396270","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3968","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","67","","similar","get tired","feel scared","50","","","","","","","",""
"","","","","","html-slider-response","24","2.1.0","496120","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","99847","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Not at all""</strong></p>","0","","attention_check_2","","","50","","0","yes","","","","",""
"","","","","","html-slider-response","25","2.1.0","506460","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","10336","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","causal","experience pain","","50","kick something","","","","","","",""
"","","","","","html-slider-response","26","2.1.0","517278","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","10815","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","100","","similar","remember something","think about something","50","","","","","","","",""
"","","","","","html-slider-response","27","2.1.0","519846","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2565","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","95","","causal","sit down","","50","experience pain","","","","","","",""
"","","","","","html-slider-response","28","2.1.0","523504","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3655","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","causal","see something","","50","take a walk","","","","","","",""
"","","","","","html-slider-response","29","2.1.0","527138","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3632","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>heard something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","77","","similar","see something","hear something","50","","","","","","","",""
"","","","","","html-slider-response","30","2.1.0","530069","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2928","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","causal","get sick","","50","see something","","","","","","",""
"","","","","","html-slider-response","31","2.1.0","532629","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2558","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","causal","remember something","","50","take a walk","","","","","","",""
"","","","","","html-slider-response","32","2.1.0","535720","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3087","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","73","","causal","jump up and down","","50","think about something","","","","","","",""
"","","","","","html-slider-response","33","2.1.0","538654","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2931","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","98","","similar","choose what to do","remember something","50","","","","","","","",""
"","","","","","html-slider-response","34","2.1.0","542787","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4131","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","63","","similar","sit down","jump up and down","50","","","","","","","",""
"","","","","","instructions","35","2.1.0","545221","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2432","","","[{""page_index"":0,""viewing_time"":2432}]","","","","","","","","","","","",""
"","","","","","survey-html-form","36","2.1.0","629077","EEBEE33F685E4D04B4A9DAA9D76D7DC2","","019962ea-f9ac-7016-9d17-26108c8e2fd7","demographics_survey","83852","","{""feedback"":""If it made sense then I chose that it was a satisfying explanation. If it didn't make sense then I chose that it was not as satisfying."",""age"":""40"",""gender"":""Female"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","","If it made sense then I chose that it was a satisfying explanation. If it didn't make sense then I chose that it was not as satisfying.","40","Non-Hispanic","Female","Black/African American"
