"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","6","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","14092","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","consent","14084","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $1.25.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","15731","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","1638","","","[{""page_index"":0,""viewing_time"":1638}]","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","22950","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","7210","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","26","","causal","get sick","see something","50","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","86704","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","63752","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","75","","causal","reach for something","become hungry","50","","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","91512","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4805","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","76","","similar","think about something","","50","remember something","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","96319","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4806","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","51","","similar","remember something","","50","think about something","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","99874","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3554","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","74","","causal","experience pain","kick something","50","","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","103968","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4092","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","4","","similar","reach for something","","50","kick something","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","107920","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3951","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Extremely satisfying""</strong></p>","100","","attention_check_1","","","50","","100","yes","","","","",""
"","","","","","html-slider-response","10","2.1.0","110844","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2920","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","51","","causal","sit down","experience pain","50","","","","","","","",""
"","","","","","html-slider-response","11","2.1.0","114771","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3925","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","49","","causal","see something","take a walk","50","","","","","","","",""
"","","","","","html-slider-response","12","2.1.0","117911","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3139","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","28","","similar","sit down","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","13","2.1.0","120796","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2884","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","27","","causal","become hungry","take a walk","50","","","","","","","",""
"","","","","","html-slider-response","14","2.1.0","124922","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4125","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","3","","causal","jump up and down","think about something","50","","","","","","","",""
"","","","","","html-slider-response","15","2.1.0","129122","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","4199","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","26","","similar","choose what to do","","50","remember something","","","","","","",""
"","","","","","html-slider-response","16","2.1.0","131798","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","2674","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","3","","similar","experience pain","","50","feel scared","","","","","","",""
"","","","","","html-slider-response","17","2.1.0","134890","19112AC7301141E384A8C8BB888FBC85","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3091","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","4","","similar","kick something","","50","jump up and down","","","","","","",""
