"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","18","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","5881","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","consent","5858","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","22968","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","17085","","","[{""page_index"":0,""viewing_time"":17085}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","38985","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","16014","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>jump up and down</strong>? <br>I would make them... </p>","0","","ordinary","jump up and down","see something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","42784","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","3797","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>hear something</strong>? <br>I would make them... </p>","0","","ordinary","hear something","take a walk","see something","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","45920","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","3134","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>reach for something</strong>? <br>I would make them... </p>","1","","ordinary","reach for something","become hungry","kick something","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","49217","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","3295","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>think about something</strong>? <br>I would make them... </p>","1","","ordinary","think about something","get sick","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","52368","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","3149","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>become hungry</strong>? <br>I would make them... </p>","1","","ordinary","become hungry","take a walk","feel scared","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","56304","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","3934","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>take a walk</strong>? <br>I would make them... </p>","0","","ordinary","take a walk","think about something","sit down","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","58696","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","2390","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>experience pain</strong>? <br>I would make them... </p>","1","","ordinary","experience pain","kick something","get tired","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.1.0","65136","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","6438","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>get sick</strong>? <br>I would make them... </p>","1","","ordinary","get sick","see something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.1.0","67232","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","2094","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>remember something</strong>? <br>I would make them... </p>","1","","ordinary","remember something","take a walk","think about something","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.1.0","68776","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","1542","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>get tired</strong>? <br>I would make them... </p>","0","","ordinary","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.1.0","70904","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","2126","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>see something</strong>? <br>I would make them... </p>","1","","ordinary","see something","take a walk","hear something","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.1.0","73664","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","2758","<p style=""font-size: 25px;"">For this question, please ignore previous instructions and select ""<strong>choose what to do</strong>"".
            <br>I would make them...</p>","0","","attention_check_ordinary","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","15","2.1.0","76816","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","3151","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>kick something</strong>? <br>I would make them... </p>","0","","ordinary","kick something","think about something","sit down","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.1.0","81760","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","4941","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>sit down</strong>? <br>I would make them... </p>","0","","ordinary","sit down","experience pain","jump up and down","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","","","","","",""
"","","","","","html-button-response","17","2.1.0","84056","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","2294","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>choose what to do</strong>? <br>I would make them... </p>","0","","ordinary","choose what to do","experience pain","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","18","2.1.0","86624","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","2566","<p style=""font-size: 25px;"">Which of these actions would you do to make someone 
                <strong>feel scared</strong>? <br>I would make them... </p>","1","","ordinary","feel scared","see something","get tired","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","instructions","19","2.1.0","88288","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","","1662","","","[{""page_index"":0,""viewing_time"":1662}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","118747","6ED9E7B258B24955A4E7D38C0F0098C5","","019a7554-4882-75ac-add4-95f1a495302d","demographics_survey","30455","","{""feedback"":""I just tried to think of how I could inspire the requested reaction."",""age"":""49"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I just tried to think of how I could inspire the requested reaction.","49","Non-Hispanic","Male","White"
