"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","view_history","rt","condition","itemB","similar_itemA","stimulus","slider_start","response","response_value","causal_itemA","correct_response_attn","selected_choice"
"true","false","[]","[]","[]","preload","0","2.0.0","1","","","","","","","","","","","","","","",""
"","","","","","instructions","1","2.0.0","4025","","","","[{""page_index"":0,""viewing_time"":4023}]","4023","","","","","","","","","",""
"","","","","","html-slider-response","2","2.0.0","5590","","","","","1560","counterfactual","kick something","jump up and down","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick</strong>?</p>","50","63","63","","",""
"","","","","","html-slider-response","3","2.0.0","6724","","","","","1132","counterfactual","hear something","","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","50","70","70","take a walk","",""
"","","","","","html-slider-response","4","2.0.0","8455","","","","","1728","counterfactual","become hungry","","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","50","34","34","take a walk","",""
"","","","","","html-slider-response","5","2.0.0","9608","","","","","1150","counterfactual","take a walk","","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","50","76","76","think about something","",""
"","","","","","html-slider-response","6","2.0.0","10756","","","","","1145","counterfactual","jump up and down","","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","50","81","81","think about something","",""
"","","","","","html-slider-response","7","2.0.0","12341","","","","","1583","counterfactual","get tired","feel scared","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","50","86","86","","",""
"","","","","","html-slider-response","8","2.0.0","14108","","","","","1763","counterfactual","think about something","remember something","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>become hungry</strong>?</p>","50","25","25","","",""
"","","","","","html-slider-response","9","2.0.0","15341","","","","","1229","counterfactual","kick something","","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick</strong>?</p>","50","27","27","think about something","",""
