"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","10","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","46034","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","consent","46020","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","47318","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1280","","","[{""page_index"":0,""viewing_time"":1279}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","156747","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","109423","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","50","","counterfactual","feel scared","see something","50","50","","","","","","","",""
"","","","","","html-slider-response","4","2.0.0","162270","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","5521","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","23","","similarity","kick something","","50","23","jump up and down","","","","","","",""
"","","","","","html-slider-response","5","2.0.0","167468","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","5195","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","51","","similarity","reach for something","","50","51","kick something","","","","","","",""
"","","","","","html-slider-response","6","2.0.0","176176","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","8706","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","13","","similarity","think about something","","50","13","remember something","","","","","","",""
"","","","","","html-slider-response","7","2.0.0","319865","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","143685","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","67","","counterfactual","choose what to do","feel scared","50","67","","","","","","","",""
"","","","","","html-slider-response","8","2.0.0","326011","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","6143","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","19","","counterfactual","experience pain","kick something","50","19","","","","","","","",""
"","","","","","html-slider-response","9","2.0.0","329961","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","3947","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","32","","similarity","hear something","","50","32","see something","","","","","","",""
"","","","","","html-slider-response","10","2.0.0","334436","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","4473","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","5","","counterfactual","get sick","see something","50","5","","","","","","","",""
"","","","","","html-slider-response","11","2.0.0","339963","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","5525","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","17","","counterfactual","sit down","experience pain","50","17","","","","","","","",""
"","","","","","html-slider-response","12","2.0.0","343953","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","3988","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","52","","counterfactual","become hungry","take a walk","50","52","","","","","","","",""
"","","","","","html-slider-response","13","2.0.0","347200","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","3245","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","5","","counterfactual","remember something","take a walk","50","5","","","","","","","",""
"","","","","","html-slider-response","14","2.0.0","392497","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","45294","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","10","","similarity","see something","","50","10","hear something","","","","","","",""
"","","","","","html-slider-response","15","2.0.0","394521","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","2023","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","43","","similarity","experience pain","","50","43","feel scared","","","","","","",""
"","","","","","html-slider-response","16","2.0.0","396154","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1630","<p style=""font-size: 25px;"">A person <strong>heard something</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>hear something</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","55","","similarity","get sick","","50","55","get tired","","","","","","",""
"","","","","","html-slider-response","17","2.0.0","398643","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","2488","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","40","","similarity","get tired","","50","40","feel scared","","","","","","",""
"","","","","","html-slider-response","18","2.0.0","404247","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","5601","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>experienced pain</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>experienced the same pain</strong>?</p>","34","","counterfactual","get tired","jump up and down","50","34","","","","","","","",""
"","","","","","html-slider-response","19","2.0.0","406574","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","2324","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","58","","similarity","feel scared","","50","58","become hungry","","","","","","",""
"","","","","","html-slider-response","20","2.0.0","408449","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1873","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","52","","counterfactual","take a walk","think about something","50","52","","","","","","","",""
"","","","","","html-slider-response","21","2.0.0","410332","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1881","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","37","","counterfactual","think about something","take a walk","50","37","","","","","","","",""
"","","","","","html-slider-response","22","2.0.0","411818","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1484","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","43","","counterfactual","jump up and down","think about something","50","43","","","","","","","",""
"","","","","","html-slider-response","23","2.0.0","550432","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","138611","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","63","","similarity","become hungry","","50","63","experience pain","","","","","","",""
"","","","","","html-slider-response","24","2.0.0","553631","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","3197","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt hungry</strong>.</p>
             <p style=""font-size: 25px;"">For this question, please select <strong>""definitely yes""</strong></p>","100","","attention_check_similarity","","","50","","","100","yes","","","","",""
"","","","","","html-slider-response","25","2.0.0","555900","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","2267","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","34","","similarity","take a walk","","50","34","jump up and down","","","","","","",""
"","","","","","html-slider-response","26","2.0.0","557467","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1565","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","72","","similarity","choose what to do","","50","72","remember something","","","","","","",""
"","","","","","html-slider-response","27","2.0.0","559298","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1829","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","32","","counterfactual","hear something","take a walk","50","32","","","","","","","",""
"","","","","","html-slider-response","28","2.0.0","561223","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1924","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","24","","similarity","sit down","","50","24","jump up and down","","","","","","",""
"","","","","","html-slider-response","29","2.0.0","563079","D6D3C88E61FE4E02A55E2D8A4BED9549","f26d3118-da5c-4938-b1a1-04fc5fbda0f2","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","1854","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","28","","similarity","remember something","","50","28","think about something","","","","","","",""
