"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","10","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","24299","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","consent","24286","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","136033","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","111731","","","[{""page_index"":0,""viewing_time"":111731}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","145347","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","9311","<p style=""font-size: 25px;"">A person <strong>became hungry</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>become hungry</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","75","","counterfactual","experience pain","kick something","50","75","","","","","","","",""
"","","","","","html-slider-response","4","2.0.0","155018","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","9668","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","100","","counterfactual","see something","take a walk","50","100","","","","","","","",""
"","","","","","html-slider-response","5","2.0.0","171471","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","16451","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","25","","similarity","jump up and down","","50","25","sit down","","","","","","",""
"","","","","","html-slider-response","6","2.0.0","183462","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","11988","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","75","","similarity","get sick","","50","75","get tired","","","","","","",""
"","","","","","html-slider-response","7","2.0.0","195827","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","12363","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>felt scared</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>felt scared all the same</strong>?</p>","16","","counterfactual","reach for something","become hungry","50","16","","","","","","","",""
"","","","","","html-slider-response","8","2.0.0","216438","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","20609","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","75","","counterfactual","hear something","take a walk","50","75","","","","","","","",""
"","","","","","html-slider-response","9","2.0.0","225179","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","8738","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","23","","counterfactual","sit down","experience pain","50","23","","","","","","","",""
"","","","","","html-slider-response","10","2.0.0","233767","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","8586","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","74","","counterfactual","think about something","take a walk","50","74","","","","","","","",""
"","","","","","html-slider-response","11","2.0.0","243435","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","9667","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","14","","similarity","hear something","","50","14","see something","","","","","","",""
"","","","","","html-slider-response","12","2.0.0","257298","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","13861","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","11","","counterfactual","jump up and down","think about something","50","11","","","","","","","",""
"","","","","","html-slider-response","13","2.0.0","267988","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","10688","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","38","","similarity","choose what to do","","50","38","remember something","","","","","","",""
"","","","","","html-slider-response","14","2.0.0","281332","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","13342","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","18","","similarity","think about something","","50","18","remember something","","","","","","",""
"","","","","","html-slider-response","15","2.0.0","406123","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","124789","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>took a walk</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>taken the same walk</strong>?</p>","80","","counterfactual","get sick","see something","50","80","","","","","","","",""
"","","","","","html-slider-response","16","2.0.0","416192","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","10067","<p style=""font-size: 25px;"">A person <strong>experienced pain</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>experience pain</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","100","","similarity","get tired","","50","100","feel scared","","","","","","",""
"","","","","","html-slider-response","17","2.0.0","427267","DAD6FAF33AE94A6B91CFAA6EEA1156CB","583c05fc-1cde-47c0-b50b-54e880cb4734","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","11073","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","90","","similarity","kick something","","50","90","jump up and down","","","","","","",""
