"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","response_value","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","9","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","128409","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","consent","128397","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","144104","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","15694","","","[{""page_index"":0,""viewing_time"":15694}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","152836","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","8730","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","0","","counterfactual","experience pain","kick something","50","0","","","","","","","",""
"","","","","","html-slider-response","4","2.0.0","163879","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","11041","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","24","","similarity","jump up and down","","50","24","sit down","","","","","","",""
"","","","","","html-slider-response","5","2.0.0","176993","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","13112","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","35","","similarity","take a walk","","50","35","jump up and down","","","","","","",""
"","","","","","html-slider-response","6","2.0.0","183977","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","6982","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","0","","counterfactual","remember something","take a walk","50","0","","","","","","","",""
"","","","","","html-slider-response","7","2.0.0","194407","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","10429","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>heard something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>heard the same thing</strong>?</p>","85","","similarity","remember something","","50","85","think about something","","","","","","",""
"","","","","","html-slider-response","8","2.0.0","201728","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","7318","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>remembered something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>remembered the same thing</strong>?</p>","75","","counterfactual","kick something","think about something","50","75","","","","","","","",""
"","","","","","html-slider-response","9","2.0.0","209586","4C81EAACF45F43F4A1E2AE4B332C10D9","843866f2-924f-4dbd-b41e-64c02fc2db41","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","7856","<p style=""font-size: 25px;"">A person <strong>thought about something</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>think about something</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","25","","counterfactual","hear something","take a walk","50","25","","","","","","","",""
