"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","17","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","97097","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","consent","97075","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","124491","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","27391","","","[{""page_index"":0,""viewing_time"":27391}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","145695","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","21196","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>thought about something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>thought the same thing</strong>?</p>","74","","similarity","become hungry","experience pain","50","74","","","","","","","",""
"","","","","","html-slider-response","4","2.0.0","158939","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","13241","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","24","","counterfactual","reach for something","","50","24","become hungry","","","","","","",""
"","","","","","html-slider-response","5","2.0.0","169112","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","10170","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","1","","counterfactual","jump up and down","","50","1","think about something","","","","","","",""
"","","","","","html-slider-response","6","2.0.0","180667","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","11553","<p style=""font-size: 25px;"">A person <strong>sat down</strong>, then they <strong>jumped up and down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>sit down</strong>. <br>Would they still have <strong>jumped up and down</strong>?</p>","76","","similarity","experience pain","feel scared","50","76","","","","","","","",""
"","","","","","html-slider-response","7","2.0.0","197860","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","17189","<p style=""font-size: 25px;"">A person <strong>remembered something</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>remember something</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","76","","similarity","sit down","jump up and down","50","76","","","","","","","",""
"","","","","","html-slider-response","8","2.0.0","220461","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","22599","<p style=""font-size: 25px;"">A person <strong>felt scared</strong>, then they <strong>chose what to do</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>feel scared</strong>. <br>Would they still have <strong>chosen to do the same thing</strong>?</p>","4","","counterfactual","sit down","","50","4","experience pain","","","","","","",""
"","","","","","html-slider-response","9","2.0.0","230330","B29FCA0288424BE4AD46710635727486","5532134c-df0a-4745-97b8-bcad67341733","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","9866","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>sat down</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>sat down at the same place</strong>?</p>","75","","similarity","kick something","jump up and down","50","75","","","","","","","",""
