"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","response_value","causal_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.0.0","30","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","4436","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","consent","4399","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 8 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 8 minutes, your payment will amount to $2.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.0.0","14470","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","10029","","","[{""page_index"":0,""viewing_time"":10029}]","","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","21898","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","7423","<p style=""font-size: 25px;"">A person <strong>kicked something</strong>, then they <strong>reached for something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>kick something</strong>. <br>Would they still have <strong>reached for the same thing</strong>?</p>","27","","similarity","remember something","think about something","50","27","","","","","","","",""
"","","","","","html-slider-response","4","2.0.0","28959","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","7058","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>became hungry</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>become hungry all the same</strong>?</p>","75","","counterfactual","reach for something","","50","75","become hungry","","","","","","",""
"","","","","","html-slider-response","5","2.0.0","36004","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","7041","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>got tired</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>gotten tired all the same</strong>?</p>","19","","counterfactual","feel scared","","50","19","see something","","","","","","",""
"","","","","","html-slider-response","6","2.0.0","42967","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","6959","<p style=""font-size: 25px;"">A person <strong>took a walk</strong>, then they <strong>saw something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>take a walk</strong>. <br>Would they still have <strong>seen the same thing</strong>?</p>","2","","counterfactual","jump up and down","","50","2","think about something","","","","","","",""
"","","","","","html-slider-response","7","2.0.0","62135","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","19165","<p style=""font-size: 25px;"">A person <strong>saw something</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>see something</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","3","","counterfactual","sit down","","50","3","experience pain","","","","","","",""
"","","","","","html-slider-response","8","2.0.0","98870","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","36732","<p style=""font-size: 25px;"">A person <strong>jumped up and down</strong>, then they <strong>kicked something</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>jump up and down</strong>. <br>Would they still have <strong>kicked the same thing</strong>?</p>","75","","similarity","take a walk","jump up and down","50","75","","","","","","","",""
"","","","","","html-slider-response","9","2.0.0","110659","620A28295562477C82D2C93347869C3F","be59e595-d979-4236-b7ff-564cdaa4b3b3","63b64ef0-0a17-45d4-99b8-0e7682bd8206","","11786","<p style=""font-size: 25px;"">A person <strong>got tired</strong>, then they <strong>got sick</strong>.</p> 
               <p style=""font-size: 25px;"">Suppose that they didn't <strong>get tired</strong>. <br>Would they still have <strong>gotten sick in the same way</strong>?</p>","73","","similarity","sit down","jump up and down","50","73","","","","","","","",""
