"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","causal_itemA","attn_response","attn_correct"
"true","false","[]","[]","[]","preload","0","2.0.0","7","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","9713","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","consent","9702","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $0.5.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","",""
"","","","","","instructions","2","2.0.0","23613","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","13886","","","[{""page_index"":0,""viewing_time"":13886}]","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","34934","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","11319","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","similar","get tired","feel scared","50","","",""
"","","","","","html-slider-response","4","2.0.0","52782","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","17847","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","83","","causal","think about something","","50","take a walk","",""
"","","","","","html-slider-response","5","2.0.0","71980","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","19197","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","16","","similar","sit down","jump up and down","50","","",""
"","","","","","html-slider-response","6","2.0.0","79669","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7687","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","79","","causal","reach for something","","50","become hungry","",""
"","","","","","html-slider-response","7","2.0.0","88232","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","8560","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","78","","causal","take a walk","","50","think about something","",""
"","","","","","html-slider-response","8","2.0.0","95466","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7233","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","82","","causal","kick something","","50","think about something","",""
"","","","","","html-slider-response","9","2.0.0","106769","DA18B0A6B8834E3692E56C4A4A24C5F7","","5824a839-7f6f-4f19-93f6-b180e10098cf","","11301","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely yes""</strong></p>","100","","attention_check_1","","","50","","100","yes"
