"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","29","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","3497","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","consent","3457","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes.</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.00.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","7807","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","4302","","","[{""page_index"":0,""viewing_time"":4299}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","13864","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","6048","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>get tired</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","27353","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","13477","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>choose what to do</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","choose what to do","feel scared","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","30834","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","3472","<p style=""font-size: 25px;"">For this question, please select <strong>""choose what to do""</strong></p>
            <p style=""font-size: 25px;"">I would make them...</p>","0","","attention_check","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","6","2.1.0","36248","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","5405","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>see something</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","0","","causal","see something","take a walk","hear something","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","53755","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","17498","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>take a walk</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","take a walk","think about something","jump up and down","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","57723","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","3956","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>think about something</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","think about something","take a walk","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","69460","89EA36AFC195405AA51A158950DE4D3C","584c8f1f-4a5b-400f-aafc-8673c49d8ddf","96564893-8422-4b16-9829-37cef1b14394","","11727","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>become hungry</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","0","","causal","become hungry","take a walk","experience pain","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
