"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","9","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","6985","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","consent","6974","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes.</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 4 minutes, your payment will amount to $1.00.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","8555","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","1568","","","[{""page_index"":0,""viewing_time"":1568}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","10477","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","1921","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>feel scared</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","feel scared","see something","become hungry","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","11538","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","1060","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>hear something</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","0","","causal","hear something","take a walk","see something","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","12765","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","1225","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>sit down</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","sit down","experience pain","jump up and down","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","14952","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","2184","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>take a walk</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","0","","causal","take a walk","think about something","jump up and down","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","16290","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","1335","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>get sick</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","get sick","see something","get tired","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","18157","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","1865","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>remember something</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","1","","causal","remember something","take a walk","think about something","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","27198","9C877543E3B14723BFE89F1C609FA75B","2a559498-6b63-4afe-8771-dc421b0dbc1c","96564893-8422-4b16-9829-37cef1b14394","","9039","<p style=""font-size: 25px;"">Which of these actions would you do to make someone <strong>become hungry</strong>?</p>
              <p style=""font-size: 25px;"">I would make them...</p>","0","","causal","become hungry","take a walk","experience pain","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
