"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","4","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","110794","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","consent","110789","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","139892","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","29098","","","[{""page_index"":0,""viewing_time"":29098}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","152713","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","12820","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select ""the ability to <strong>choose what to do</strong>"".</p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","169072","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","16358","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","5","2.1.0","180209","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","11137","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","6","2.1.0","191160","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","10950","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","take a walk","think about something","jump up and down","","","","",""
"","","","","","html-button-response","7","2.1.0","195504","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","4344","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>remember something</strong></p>","choose what to do","experience pain","remember something","","","","",""
"","","","","","html-button-response","8","2.1.0","199193","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","3688","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","9","2.1.0","203127","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","3933","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","10","2.1.0","209858","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","6731","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>remember something</strong></p>","think about something","get sick","remember something","","","","",""
"","","","","","html-button-response","11","2.1.0","213797","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","3938","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","jump up and down","see something","sit down","","","","",""
"","","","","","html-button-response","12","2.1.0","217997","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","4200","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>kick something</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","html-button-response","13","2.1.0","222265","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","4267","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","14","2.1.0","225558","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","3293","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","see something","take a walk","hear something","","","","",""
"","","","","","html-button-response","15","2.1.0","233184","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","7625","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>experience pain</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","16","2.1.0","242453","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","9269","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","17","2.1.0","248027","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","5573","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","18","2.1.0","251983","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","3955","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>become hungry</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","instructions","19","2.1.0","255101","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","","3118","","","[{""page_index"":0,""viewing_time"":3118}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","311759","ED5E6E7C27AD42AB8E7296C35BFDD2B6","","019a0831-62fe-74e3-9f5a-266829f91758","demographics_survey","56657","","{""feedback"":""I was trying to find a similarity between what was asked and my options. For instance the ability to kick would make me think they could feel pain. I was just going with my gut. "",""age"":""56"",""gender"":""Male"",""other_gender"":"""",""race"":""White"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I was trying to find a similarity between what was asked and my options. For instance the ability to kick would make me think they could feel pain. I was just going with my gut. ","56","Non-Hispanic","Male","White"
