"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","4","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","3422","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","consent","3417","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","19118","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","15695","","","[{""page_index"":0,""viewing_time"":15694}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","25192","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","6073","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","jump up and down","see something","sit down","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","30022","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","4828","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","get sick","see something","get tired","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","34533","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","4509","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","sit down","experience pain","jump up and down","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","38234","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","3699","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","see something","take a walk","hear something","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","41641","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","3406","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","remember something","take a walk","think about something","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","44898","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","3255","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","think about something","get sick","remember something","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","47725","E05FC54B21744DFD975E9C5BF07D9A5C","","019a0831-62fe-74e3-9f5a-266829f91758","","2825","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","kick something","think about something","sit down","<p style=""font-size: 25px;"">The ability to <strong>experience pain</strong></p>","","","","","",""
