"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","15","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","63411","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","consent","63393","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","285973","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","222560","","","[{""page_index"":0,""viewing_time"":222560}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","290038","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","4063","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","sit down","experience pain","jump up and down","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","292972","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2932","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","become hungry","take a walk","feel scared","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","295627","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2652","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","experience pain","kick something","get tired","<p style=""font-size: 25px;"">The ability to <strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","299565","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3936","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","take a walk","think about something","jump up and down","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","304190","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","4623","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","get sick","see something","get tired","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","306947","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2756","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","see something","take a walk","hear something","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","309522","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2573","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","think about something","get sick","remember something","<p style=""font-size: 25px;"">The ability to <strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.1.0","312895","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3371","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select ""the ability to <strong>choose what to do</strong>"".</p>","1","","attention_check","","","","sit down","choose what to do","","","","",""
"","","","","","html-button-response","11","2.1.0","316570","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3674","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","remember something","take a walk","think about something","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.1.0","318292","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1721","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","reach for something","become hungry","kick something","<p style=""font-size: 25px;"">The ability to <strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.1.0","319217","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","923","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","kick something","think about something","sit down","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.1.0","320095","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","876","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","hear something","take a walk","see something","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","15","2.1.0","320859","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","763","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","get tired","jump up and down","feel scared","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.1.0","322494","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1633","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","choose what to do","experience pain","remember something","<p style=""font-size: 25px;"">The ability to <strong>experience pain</strong></p>","","","","","",""
"","","","","","html-button-response","17","2.1.0","323833","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1338","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","jump up and down","see something","sit down","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","18","2.1.0","326361","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2527","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","feel scared","see something","get tired","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","","","","","",""
"","","","","","instructions","19","2.1.0","343547","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","17185","","","[{""page_index"":0,""viewing_time"":17185}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","415281","DA9FEC036DBA4009AD1E1C8CBD2C7863","","019a08eb-2e9e-73d9-8903-936d45d7eccc","demographics_survey","71706","","{""feedback"":""I just thought about the abilities I would like my player to have in a game. "",""age"":""46"",""gender"":""Male"",""other_gender"":"""",""race"":""Black/African American"",""other_race"":"""",""ethnicity"":""Hispanic""}","","","","","","","","I just thought about the abilities I would like my player to have in a game. ","46","Hispanic","Male","Black/African American"
