"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","7","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","84010","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","consent","84001","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","90891","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6880","","","[{""page_index"":0,""viewing_time"":6880}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","97360","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6468","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select ""the ability to <strong>choose what to do</strong>"".</p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","109089","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","11728","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","experience pain","sit down","become hungry","","","","",""
"","","","","","html-button-response","5","2.1.0","114426","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","5335","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","remember something","feel scared","hear something","","","","",""
"","","","","","html-button-response","6","2.1.0","282515","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","168086","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","get tired","sit down","become hungry","","","","",""
"","","","","","html-button-response","7","2.1.0","286037","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3520","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","choose what to do","feel scared","hear something","","","","",""
"","","","","","html-button-response","8","2.1.0","286079","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","40","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","reach for something","experience pain","take a walk","","","","",""
"","","","","","html-button-response","9","2.1.0","314112","AE5BB3054A9A46FABF7249C579A08B44","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","28031","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","","<p style=""font-size: 25px;"">The ability to <strong>become hungry</strong></p>","get sick","sit down","become hungry","","","","",""
