"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","5","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2499","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","consent","2492","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","13752","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","11252","","","[{""page_index"":0,""viewing_time"":11252}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","20918","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","7164","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","sit down","experience pain","jump up and down","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","27056","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6136","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","experience pain","kick something","get tired","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","31349","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","4292","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","take a walk","think about something","jump up and down","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","36843","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","5493","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","kick something","think about something","sit down","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","39447","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2601","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","remember something","take a walk","think about something","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","43635","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","4185","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","see something","take a walk","hear something","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","46564","8D63FEE41D65498E8A4EB55309E3A39F","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2927","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","become hungry","take a walk","feel scared","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","","","","","",""
