"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","16","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","4261","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","consent","4238","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","18233","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","13961","","","[{""page_index"":0,""viewing_time"":13961}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","20187","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","1950","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select ""the ability to <strong>choose what to do</strong>"".</p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","36523","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","16331","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","5","2.1.0","46139","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","9611","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","jump up and down","see something","sit down","","","","",""
"","","","","","html-button-response","6","2.1.0","52491","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6348","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","html-button-response","7","2.1.0","57747","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","5251","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>remember something</strong></p>","choose what to do","experience pain","remember something","","","","",""
"","","","","","html-button-response","8","2.1.0","74251","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","16500","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","9","2.1.0","78635","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","4379","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>kick something</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","10","2.1.0","81682","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3043","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","take a walk","think about something","jump up and down","","","","",""
"","","","","","html-button-response","11","2.1.0","84395","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2708","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","12","2.1.0","86835","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2435","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>remember something</strong></p>","think about something","get sick","remember something","","","","",""
"","","","","","html-button-response","13","2.1.0","89722","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2883","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","14","2.1.0","201177","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","111451","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","15","2.1.0","203215","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2035","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","16","2.1.0","205905","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2686","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","see something","take a walk","hear something","","","","",""
"","","","","","html-button-response","17","2.1.0","209298","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3391","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","18","2.1.0","211411","9C2F139BFFB54695BF441277B44E7CCD","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2108","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","hear something","take a walk","see something","","","","",""
