"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","14","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","3553","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","consent","3536","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","19831","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","16276","","","[{""page_index"":0,""viewing_time"":16276}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","23835","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3996","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select ""the ability to <strong>choose what to do</strong>"".</p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","113752","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","89915","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","5","2.1.0","121506","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","7751","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","6","2.1.0","126095","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","4588","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>kick something</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","7","2.1.0","130033","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3936","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","8","2.1.0","132203","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2167","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","take a walk","think about something","jump up and down","","","","",""
"","","","","","html-button-response","9","2.1.0","135001","DAF622F9022647A99AB9915F19EDE3BA","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2795","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","jump up and down","see something","sit down","","","","",""
