"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","15","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","11903","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","consent","11883","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","23641","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","11736","","","[{""page_index"":0,""viewing_time"":11735}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","48094","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","24452","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>reach for something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","reach for something","become hungry","kick something","<p style=""font-size: 25px;""><strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","60783","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","12686","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>jump up and down</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","jump up and down","see something","sit down","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","70331","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","9546","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>hear something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","hear something","take a walk","see something","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","112603","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","42271","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>get tired</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","139874","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","27270","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>remember something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","remember something","take a walk","think about something","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","142002","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","2125","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>see something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","see something","take a walk","hear something","<p style=""font-size: 25px;""><strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","168862","30A264DBBF9F4CA3B0B1768B361B0F79","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","26856","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>feel scared</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","feel scared","see something","get tired","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
