"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","9","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","20553","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","consent","20542","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","26729","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","6175","","","[{""page_index"":0,""viewing_time"":6175}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","49313","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","22583","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>choose what to do</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","choose what to do","experience pain","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","63137","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","13822","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>see something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","see something","take a walk","hear something","<p style=""font-size: 25px;""><strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","69569","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","6431","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>experience pain</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","experience pain","kick something","get tired","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","75073","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","5503","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>sit down</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","sit down","experience pain","jump up and down","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","80497","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","5423","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>take a walk</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","take a walk","think about something","jump up and down","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","95753","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","15255","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>remember something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","remember something","take a walk","think about something","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","98969","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","3215","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>become hungry</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","become hungry","take a walk","feel scared","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.1.0","102322","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","3352","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>reach for something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","reach for something","become hungry","kick something","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.1.0","108033","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","5710","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select <strong>""choose what to do""</strong></p>","0","","attention_check","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","12","2.1.0","123281","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","15247","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>kick something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","kick something","think about something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.1.0","125193","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","1911","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>hear something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","0","","named_spell","hear something","take a walk","see something","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.1.0","128264","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","3071","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>get tired</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","15","2.1.0","130473","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","2207","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>feel scared</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","feel scared","see something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.1.0","143137","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","12663","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>get sick</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","get sick","see something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","17","2.1.0","144841","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","1703","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>think about something</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","think about something","get sick","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","18","2.1.0","147489","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","2647","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast the <em>Ulana</em> spell. <br>The <em>Ulana</em> spell gives the creature the capacity to <strong>jump up and down</strong>, and one other capacity. <br>Which do you think is this other capacity? </p>","1","","named_spell","jump up and down","see something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","instructions","19","2.1.0","161305","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","","13815","","","[{""page_index"":0,""viewing_time"":13815}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","188563","1C7F17EBE0F34FB1B7B1ECA49948BB42","","0199f2a0-e393-77c9-8aea-ce82d4d5233b","demographics_survey","27255","","{""feedback"":""I related to the abilities already given"",""age"":""40"",""gender"":""Female"",""other_gender"":"""",""race"":""Native Hawaiian/Pacific Islander"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","I related to the abilities already given","40","Non-Hispanic","Female","Native Hawaiian/Pacific Islander"
