"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","6","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","17579","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","consent","17570","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","50053","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","32473","","","[{""page_index"":0,""viewing_time"":32473}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","75141","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","25087","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>choose what to do.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","choose what to do","experience pain","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","82959","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","7816","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select <strong>""choose what to do""</strong></p>","0","","attention_check","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","5","2.1.0","108047","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","25086","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>reach for something.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","reach for something","become hungry","kick something","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","117432","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","9384","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>sit down.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","sit down","experience pain","jump up and down","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","131836","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","14402","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>think about something.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","think about something","get sick","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","139371","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","7534","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>experience pain.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","experience pain","kick something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","146839","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","7466","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>remember something.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","remember something","take a walk","think about something","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.1.0","156290","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","9450","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>hear something.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","hear something","take a walk","see something","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.1.0","169159","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","12868","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>become hungry.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","become hungry","take a walk","feel scared","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.1.0","173911","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","4750","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>jump up and down.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","jump up and down","see something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.1.0","186597","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","12685","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>take a walk.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","take a walk","think about something","jump up and down","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.1.0","197568","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","10970","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>kick something.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","kick something","think about something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","15","2.1.0","201635","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","4066","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>get sick.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","0","","named_substrate","get sick","see something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","16","2.1.0","208337","13C07934492248F6AFD9373F32C6992B","","0199f2f5-cfd1-7796-8b7d-f747034b60cd","","6701","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, you cast a spell which gives the creature a special substrate <em>Ulana</em>. <br><em>Ulana</em> gives the creature the capacity to <strong>get tired.</strong> <br>Which other capacity does <em>Ulana</em> give this creature? The capacity to... </p>","1","","named_substrate","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","","","","","",""
