"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","3","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","2713","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","consent","2710","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","6743","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","4029","","","[{""page_index"":0,""viewing_time"":4029}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","12332","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","5589","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select <strong>""choose what to do""</strong></p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","19555","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","7222","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>think about something.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","0","","pilot","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","think about something","get sick","remember something","","","","",""
"","","","","","html-button-response","5","2.1.0","33609","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","14053","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>become hungry.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","0","","pilot","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","6","2.1.0","40106","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","6497","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>get sick.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","0","","pilot","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","7","2.1.0","58506","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","18399","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>jump up and down.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","0","","pilot","","<p style=""font-size: 25px;""><strong>sit down</strong></p>","jump up and down","see something","sit down","","","","",""
"","","","","","html-button-response","8","2.1.0","68469","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","9962","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>see something.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>hear something</strong></p>","see something","take a walk","hear something","","","","",""
"","","","","","html-button-response","9","2.1.0","76515","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","8045","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>get tired.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","10","2.1.0","85207","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","8691","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>experience pain.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>kick something</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","html-button-response","11","2.1.0","90868","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","5660","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>choose what to do.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","0","","pilot","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","choose what to do","experience pain","remember something","","","","",""
"","","","","","html-button-response","12","2.1.0","107679","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","16811","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>kick something.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>sit down</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","13","2.1.0","115226","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","7546","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>reach for something.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","0","","pilot","","<p style=""font-size: 25px;""><strong>become hungry</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","14","2.1.0","129819","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","14593","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>take a walk.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","0","","pilot","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","take a walk","think about something","jump up and down","","","","",""
"","","","","","html-button-response","15","2.1.0","133487","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","3667","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>remember something.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","16","2.1.0","142826","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","9338","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>hear something.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","17","2.1.0","151406","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","8579","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>feel scared.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>see something</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","18","2.1.0","155619","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","4213","<p style=""font-size: 25px;"">Suppose that you had magical powers, and wanted to give a creature the ability to <strong>sit down.</strong> <br>However, you ran out of that specific spell. <br>Which of these two spells would most likely accomplish your goal? <br>Giving the creature the ability to...</p>","1","","pilot","","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","instructions","19","2.1.0","157496","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","","1876","","","[{""page_index"":0,""viewing_time"":1876}]","","","","","","","","","","",""
"","","","","","survey-html-form","20","2.1.0","176861","2E3A1785F7474A60A7F8D7BAF536E3B3","","0199ee82-6072-77a3-8e83-ec647691b665","demographics_survey","19364","","{""feedback"":""Chronology"",""age"":""40"",""gender"":""Female"",""other_gender"":"""",""race"":""Asian"",""other_race"":"""",""ethnicity"":""Non-Hispanic""}","","","","","","","","Chronology","40","Non-Hispanic","Female","Asian"
