"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","15","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","15991","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","consent","15973","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","26367","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","10374","","","[{""page_index"":0,""viewing_time"":10374}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","49023","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","22655","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>reach for something.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","0","","standard","reach for something","become hungry","kick something","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","58254","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","9231","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>become hungry.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","0","","standard","become hungry","take a walk","feel scared","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","64094","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","5839","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>get sick.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","1","","standard","get sick","see something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","69246","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","5151","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>hear something.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","0","","standard","hear something","take a walk","see something","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","72134","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","2887","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>experience pain.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","0","","standard","experience pain","kick something","get tired","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","76222","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","4087","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>choose what to do.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","0","","standard","choose what to do","experience pain","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","79078","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","2854","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>feel scared.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","0","","standard","feel scared","see something","get tired","<p style=""font-size: 25px;""><strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.1.0","84118","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","5039","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>kick something.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","0","","standard","kick something","think about something","sit down","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.1.0","89062","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","4943","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select <strong>""choose what to do""</strong></p>","0","","attention_check","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","12","2.1.0","94302","48982E913CEF45C3B313339316D2495E","","0199f327-5758-76ec-86b2-e20a5114ed1c","","5239","<p style=""font-size: 25px;"">You are working on a new creature which currently has no capabilities. <br>Using your magical powers, your goal is to give this creature the capacity to <strong>get tired.</strong> <br>However, you ran out of that specific spell.<br>Which of these two spells would most likely accomplish your goal? <br>The spell that grants the capacity to...</p>","1","","standard","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
